Dimension,Reaction indices,Reactions,Parameter type,Uncertainty
218,798,C3H3+CH3=C4H612,A,4.0
219,814,C4H6-2=C4H6,A,3.0
220,842,C4H6+H=C4H7,A,3.0
221,843,C4H7+H=C3H5+CH3,A,5.0
222,847,C4H7+O2=C4H6+HO2,A,5.0
223,848,C4H7+HO2=>C3H5+CH2O+OH,A,5.0
224,850,C4H7+CH3=C4H6+CH4,A,5.0
225,851,AC3H4+CH3(+M)=IC4H7(+M),A,4.0
226,855,IC4H7+O=CH2O+CH3CCH2,A,10.0
227,857,IC4H7+O2=>AC3H4+CH2O+OH,A,5.0
228,858,HO2+IC4H7=CH2O+CH3CCH2+OH,A,10.0
229,868,C3H5+CH3=C4H81,A,3.0
230,871,C4H81+H=C3H6+CH3,A,5.0
231,885,C4H82+H=C3H6+CH3,A,5.0
232,892,C4H82+CH3=C4H7+CH4,A,3.0
233,893,H+IC4H7=IC4H8,A,3.0
234,895,CH3+CH3CCH2=IC4H8,A,3.0
235,896,H+IC4H8=H2+IC4H7,A,3.0
236,898,H+IC4H8=C3H6+CH3,A,3.0
237,900,IC4H8+O=HCO+IC3H7,A,3.0
238,903,IC4H8+OH=H2O+IC4H7,A,3.0
239,905,IC4H8+O2=HO2+IC4H7,A,3.0
240,910,CH3+IC4H8=CH4+IC4H7,A,3.0
241,912,IC4H8=C4H81,A,5.0
242,913,IC4H8=C4H82,A,5.0
243,922,HO2+NC4H9=>CH2O+NC3H7+OH,A,5.0
244,925,C4H81+H(+M)=SC4H9(+M),A,3.0
245,963,CH3+NC3H7(+M)=C4H10(+M),A,2.0
246,964,2C2H5(+M)=C4H10(+M),A,2.0
247,966,C4H10+H=H2+SC4H9,A,2.0
248,967,C4H10+O=NC4H9+OH,A,3.0
249,968,C4H10+O=OH+SC4H9,A,3.0
250,969,C4H10+OH=H2O+NC4H9,A,3.0
251,970,C4H10+OH=H2O+SC4H9,A,3.0
252,974,C4H10+HO2=H2O2+SC4H9,A,3.0
253,975,C4H10+CH3=CH4+NC4H9,A,3.0
254,976,C4H10+CH3=CH4+SC4H9,A,3.0
255,979,CH3+IC3H7(+M)=IC4H10(+M),A,2.0
256,980,H+IC4H10=H2+IC4H9,A,3.0
257,981,H+IC4H10=H2+TC4H9,A,3.0
258,984,IC4H10+OH=H2O+IC4H9,A,3.0
